Start Log - Format: duration;count;numberOfParticlesDOTS;numberOfParticlesStandard
9,4;23;0;2674
9,5;22;0;2742
9,6;22;0;2810
9,700001;18;0;2880
9,800001;21;0;2956
9,900002;20;0;3029
10;20;0;3079
10,1;20;0;3130
10,2;19;0;3182
10,3;19;0;3238
10,4;19;0;3291
10,5;18;0;3344
10,6;18;0;3399
10,7;17;0;3455
10,8;18;0;3513
10,90001;17;0;3569
11,00001;17;0;3629
11,10001;15;0;3688
11,20001;17;0;3751
11,30001;16;0;3811
11,40001;16;0;3873
11,50001;16;0;3937
11,60001;14;0;4000
11,70001;15;0;4068
11,80001;15;0;4137
11,90001;14;0;4208
12,00001;15;0;4279
12,10001;13;0;4348
12,20001;14;0;4429
12,30001;14;0;4501
12,40001;14;0;4579
12,50001;14;0;4653
12,60001;13;0;4727
12,70001;13;0;4810
12,80001;13;0;4888
12,90001;12;0;4966
13,00001;12;0;5049
13,10001;12;0;5131
13,20001;12;0;5216
13,30001;12;0;5302
13,40001;12;0;5392
13,50002;12;0;5479
13,60002;11;0;5566
13,70002;11;0;5656
13,80002;11;0;5747
13,90002;11;0;5841
14,00002;9;0;5887
14,10002;10;0;5989
14,20002;10;0;6089
14,30002;10;0;6188
14,40002;10;0;6239
14,50002;10;0;6289
14,60002;10;0;6340
14,70002;10;0;6391
14,80002;10;0;6442
14,90002;9;0;6494
15,00002;10;0;6546
15,10002;10;0;6599
15,20002;8;0;6651
15,30002;9;0;6711
15,40002;8;0;6764
15,50002;9;0;6825
15,60002;9;0;6879
15,70002;9;0;6934
15,80002;9;0;6990
15,90002;9;0;7046
16,00002;8;0;7102
16,10003;8;0;7164
16,20003;9;0;7226
16,30003;9;0;7283
16,40003;8;0;7342
16,50003;8;0;7402
16,60003;8;0;7463
16,70003;9;0;7524
16,80003;8;0;7583
16,90003;7;0;7643
17,00003;8;0;7711
17,10003;7;0;7773
17,20003;8;0;7841
17,30003;7;0;7904
17,40003;7;0;7973
17,50003;8;0;8047
17,60003;7;0;8111
17,70003;7;0;8178
17,80003;7;0;8247
17,90003;8;0;8316
18,00003;7;0;8382
18,10003;7;0;8451
18,20003;7;0;8518
18,30003;7;0;8587
18,40003;7;0;8655
18,50003;7;0;8723
18,60003;6;0;8794
18,70004;7;0;8873
18,80004;7;0;8943
18,90004;7;0;9013
19,00004;7;0;9085
19,10004;7;0;9161
19,20004;7;0;9232
19,30004;7;0;9307
19,40004;7;0;9382
19,50004;7;0;9456
19,60004;6;0;9532
19,70004;7;0;9609
19,80004;6;0;9685
19,90004;6;0;9763
20,00004;7;0;9848
20,10004;6;0;9925
20,20004;6;0;10003
20,30004;6;0;10083
20,40004;6;0;10168
20,50004;6;0;10248
20,60004;6;0;10335
20,70004;6;0;10417
20,80004;6;0;10500
20,90004;5;0;10587
21,00004;6;0;10683
21,10004;6;0;10771
21,20004;6;0;10861
21,30005;6;0;10949
21,40005;6;0;11035
21,50005;5;0;11124
21,60005;6;0;11227
21,70005;6;0;11315
21,80005;6;0;11405
21,90005;5;0;11495
22,00005;5;0;11591
22,10005;5;0;11688
22,20005;5;0;11782
22,30005;5;0;11884
22,40005;5;0;11977
22,50005;5;0;12079
22,60005;5;0;12175
22,70005;5;0;12272
22,80005;5;0;12375
22,90005;5;0;12476
23,00005;5;0;12579
23,10005;5;0;12689
23,20005;5;0;12794
23,30005;5;0;12898
23,40005;5;0;13008
23,50005;5;0;13110
23,60005;5;0;13216
23,70005;5;0;13320
23,80005;5;0;13429
23,90005;4;0;13533
24,00006;5;0;13647
24,10006;5;0;13755
24,20006;5;0;13863
24,30006;4;0;13974
24,40006;4;0;14087
24,50006;5;0;14198
24,60006;4;0;14307
24,70006;4;0;14418
24,80006;4;0;14530
24,90006;4;0;14645
25,00006;4;0;14762
25,10006;4;0;14885
25,20006;4;0;15004
25,30006;4;0;15127
25,40006;4;0;15247
25,50006;4;0;15365
25,60006;4;0;15496
25,70006;4;0;15619
25,80006;4;0;15743
25,90006;4;0;15881
26,00006;4;0;16018
26,10006;4;0;16143
26,20006;4;0;16269
26,30006;4;0;16401
26,40006;4;0;16539
26,50006;4;0;16679
26,60007;4;0;16811
26,70007;4;0;16949
26,80007;4;0;17087
26,90007;4;0;17223
27,00007;3;0;17366
27,10007;3;0;17510
27,20007;4;0;17653
27,30007;3;0;17795
27,40007;3;0;17952
27,50007;3;0;18097
27,60007;3;0;18241
27,70007;3;0;18386
27,80007;3;0;18549
27,90007;3;0;18701
28,00007;3;0;18868
28,10007;3;0;19018
28,20007;3;0;19170
28,30007;3;0;19337
28,40007;3;0;19494
28,50007;3;0;19653
28,60007;3;0;19809
28,70007;3;0;19976
28,80007;3;0;20134
28,90007;3;0;20301
29,00007;3;0;20462
29,10007;3;0;20628
29,20008;3;0;20794
29,30008;3;0;20961
29,40008;3;0;21121
29,50008;3;0;21288
29,60008;3;0;21455
29,70008;3;0;21621
29,80008;3;0;21788
29,90008;3;0;21955
30,00008;3;0;22121
30,10008;3;0;22288
30,20008;3;0;22455
30,30008;3;0;22621
30,40008;3;0;22788
30,50008;3;0;22955
30,60008;3;0;23121
30,70008;3;0;23288
30,80008;3;0;23455
30,90008;3;0;23621
31,00008;3;0;23788
31,10008;3;0;23955
31,20008;3;0;24121
31,30008;3;0;24288
31,40008;3;0;24455
31,50008;2;0;24621
31,60008;3;0;24788
31,70008;3;0;24955
31,80009;2;0;25121
31,90009;2;0;25288
32,00008;2;0;25455
32,10008;3;0;25621
32,20008;2;0;25788
32,30008;2;0;25955
32,40008;2;0;26121
32,50008;2;0;26288
32,60007;2;0;26455
32,70007;2;0;26621
32,80007;2;0;26788
32,90007;2;0;26955
33,00007;2;0;27121
33,10007;2;0;27288
33,20007;2;0;27455
33,30006;2;0;27621
33,40006;2;0;27788
33,50006;2;0;27955
33,60006;2;0;28121
33,70006;2;0;28288
33,80006;2;0;28455
33,90005;2;0;28621
34,00005;2;0;28788
34,10005;2;0;28955
34,20005;2;0;29122
34,30005;2;0;29288
34,40005;2;0;29455
34,50005;2;0;29622
34,60004;2;0;29788
34,70004;2;0;29955
34,80004;2;0;29876
34,90004;2;0;29709
35,00004;2;0;29543
35,10004;2;0;29376
35,20004;2;0;29209
35,30003;2;0;29043
35,40003;2;0;28876
35,50003;2;0;28709
35,60003;2;0;28543
35,70003;2;0;28376
35,80003;2;0;28209
35,90002;2;0;28043
36,00002;2;0;27876
36,10002;2;0;27709
36,20002;2;0;27543
36,30002;2;0;27376
36,40002;2;0;27209
36,50002;2;0;27043
36,60001;2;0;26876
36,70001;2;0;26709
36,80001;2;0;26543
36,90001;2;0;26376
37,00001;2;0;26209
37,10001;2;0;26043
37,2;2;0;25876
37,3;2;0;25709
37,4;2;0;25543
37,5;2;0;25376
37,6;2;0;25209
37,7;2;0;25043
37,8;3;0;24876
37,89999;2;0;24709
37,99999;2;0;24543
38,09999;2;0;24376
38,19999;3;0;24209
38,29999;3;0;24043
38,39999;2;0;23876
38,49998;3;0;23709
38,59998;3;0;23543
38,69998;3;0;23376
38,79998;3;0;23209
38,89998;3;0;23043
38,99998;3;0;22876
39,09998;3;0;22709
39,19997;3;0;22543
39,29997;3;0;22376
39,39997;3;0;22210
39,49997;3;0;22043
39,59997;3;0;21876
39,69997;3;0;21710
39,79996;3;0;21543
39,89996;3;0;21376
39,99996;3;0;21210
40,09996;3;0;21043
40,19996;3;0;20876
40,29996;3;0;20710
40,39996;3;0;20545
40,49995;3;0;20379
40,59995;3;0;20212
40,69995;3;0;20045
40,79995;3;0;19879
40,89995;3;0;19717
40,99995;3;0;19552
41,09995;3;0;19388
41,19994;3;0;19228
41,29994;3;0;19066
41,39994;3;0;18916
41,49994;3;0;18766
41,59994;3;0;18618
41,69994;3;0;18459
41,79993;3;0;18300
41,89993;3;0;18156
41,99993;3;0;18010
42,09993;3;0;17854
42,19993;3;0;17701
42,29993;3;0;17548
42,39993;3;0;17400
42,49992;4;0;17246
42,59992;4;0;17108
42,69992;4;0;16971
42,79992;4;0;16829
42,89992;3;0;16687
42,99992;4;0;16540
43,09991;3;0;16401
43,19991;4;0;16255
43,29991;4;0;16127
43,39991;3;0;15992
43,49991;4;0;15835
43,59991;4;0;15694
43,69991;4;0;15571
43,7999;4;0;15444
43,8999;4;0;15314
43,9999;4;0;15185
44,0999;4;0;15054
44,1999;4;0;14932
44,2999;4;0;14812
44,39989;4;0;14690
44,49989;4;0;14573
44,59989;4;0;14452
44,69989;4;0;14338
44,79989;4;0;14222
44,89989;4;0;14110
44,99989;4;0;13985
45,09988;4;0;13873
45,19988;4;0;13759
45,29988;4;0;13639
45,39988;4;0;13520
45,49988;5;0;13404
45,59988;5;0;13296
45,69987;5;0;13188
45,79987;4;0;13077
45,89987;5;0;12959
45,99987;5;0;12852
46,09987;5;0;12749
46,19987;5;0;12647
46,29987;5;0;12544
46,39986;5;0;12438
46,49986;5;0;12339
46,59986;5;0;12241
46,69986;4;0;12143
46,79986;5;0;12021
46,89986;5;0;11920
46,99986;5;0;11818
47,09985;5;0;11719
47,19985;5;0;11609
47,29985;5;0;11505
47,39985;5;0;11412
47,49985;5;0;11320
47,59985;5;0;11228
47,69984;5;0;11137
47,79984;5;0;11038
47,89984;5;0;10945
47,99984;6;0;10850
48,09984;5;0;10762
48,19984;6;0;10670
48,29984;6;0;10585
48,39983;6;0;10499
48,49983;6;0;10408
48,59983;6;0;10324
48,69983;6;0;10240
48,79983;6;0;10158
48,89983;6;0;10077
48,99982;6;0;9994
49,09982;6;0;9912
49,19982;6;0;9832
49,29982;6;0;9754
49,39982;6;0;9670
49,49982;6;0;9589
49,59982;6;0;9508
49,69981;6;0;9427
49,79981;6;0;9347
49,89981;7;0;9268
49,99981;6;0;9193
50,09981;7;0;9114
50,19981;6;0;9040
50,2998;7;0;8963
50,3998;7;0;8889
50,4998;7;0;8813
50,5998;7;0;8738
50,6998;6;0;8664
50,7998;7;0;8585
50,8998;6;0;8513
50,99979;7;0;8435
51,09979;7;0;8367
51,19979;7;0;8297
51,29979;7;0;8228
51,39979;7;0;8156
51,49979;7;0;8085
51,59978;8;0;8014
51,69978;7;0;7949
51,79978;7;0;7881
51,89978;8;0;7812
51,99978;7;0;7749
52,09978;8;0;7681
52,19978;8;0;7617
52,29977;8;0;7554
52,39977;8;0;7489
52,49977;8;0;7428
52,59977;8;0;7367
52,69977;8;0;7306
52,79977;8;0;7248
52,89977;9;0;7185
52,99976;9;0;7127
53,09976;8;0;7068
53,19976;8;0;7008
53,29976;8;0;6948
53,39976;9;0;6883
53,49976;9;0;6827
53,59975;9;0;6770
53,69975;9;0;6716
53,79975;9;0;6660
53,89975;8;0;6605
53,99975;9;0;6545
54,09975;8;0;6492
54,19975;9;0;6429
54,29974;10;0;6371
54,39974;10;0;6319
54,49974;10;0;6268
54,59974;10;0;6217
54,69974;9;0;6166
54,79974;10;0;6111
54,89973;10;0;6011
54,99973;10;0;5913
55,09973;10;0;5864
55,19973;10;0;5767
55,29973;11;0;5669
55,39973;10;0;5623
55,49973;11;0;5526
55,59972;11;0;5435
55,69972;12;0;5345
55,79972;12;0;5260
55,89972;11;0;5174
55,99972;10;0;5130
56,09972;12;0;5033
56,19971;12;0;4950
56,29971;13;0;4868
56,39971;13;0;4789
56,49971;13;0;4708
56,59971;13;0;4629
56,69971;13;0;4548
56,79971;13;0;4471
56,8997;14;0;4393
56,9997;14;0;4313
57,0997;14;0;4237
57,1997;14;0;4164
57,2997;15;0;4094
57,3997;15;0;4022
57,49969;15;0;3954
57,59969;16;0;3889
57,69969;16;0;3825
57,79969;16;0;3763
57,89969;16;0;3702
57,99969;15;0;3641
58,09969;17;0;3577
58,19968;17;0;3515
58,29968;17;0;3456
58,39968;15;0;3398
58,49968;18;0;3336
58,59968;18;0;3280
58,69968;18;0;3226
58,79967;19;0;3172
58,89967;20;0;3120
58,99967;19;0;3069
59,09967;20;0;3018
59,19967;18;0;2966
59,29967;20;0;2890
59,39967;21;0;2818
59,49966;22;0;2747
59,59966;23;0;2678
59,69966;23;0;2613
59,79966;19;0;2548
59,89966;25;0;2480
59,99966;23;0;2416
60,09966;25;0;2354
60,19965;26;0;2295
60,29965;27;0;2238
60,39965;28;0;2182
60,49965;27;0;2127
60,59965;29;0;2073
60,69965;24;0;2021
60,79964;31;0;1965
60,89964;30;0;1900
60,99964;33;0;1836
61,09964;33;0;1775
61,19964;34;0;1713
61,29964;35;0;1655
61,39964;37;0;1598
61,49963;38;0;1542
61,59963;36;0;1489
61,69963;40;0;1436
61,79963;44;0;1376
61,89963;46;0;1317
61,99963;47;0;1261
62,09962;37;0;1208
62,19962;51;0;1152
62,29962;53;0;1102
62,39962;56;0;1047
62,49962;60;0;993
62,59962;62;0;942
62,69962;67;0;886
62,79961;56;0;835
62,89961;77;0;777
62,99961;84;0;726
63,09961;85;0;676
63,19961;95;0;623
63,29961;105;0;572
63,3996;102;0;520
63,4996;120;0;466
63,5996;137;0;413
63,6996;141;0;363
63,7996;166;0;312
63,8996;159;0;262
63,9996;178;0;209
64,09959;218;0;156
64,19959;259;0;104
64,29959;265;0;53
64,39959;290;0;2
64,49959;264;0;0
64,59959;276;0;0
64,69958;290;0;0
64,79958;290;0;0
64,89958;315;0;0
64,99958;309;0;0
65,09958;282;0;0
65,19958;286;0;0
65,29958;292;0;0
65,39957;285;0;0
65,49957;249;0;0
65,59957;304;0;0
65,69957;277;0;0
65,79957;313;0;0
65,89957;286;0;0
65,99957;309;0;0
66,09956;312;0;0
66,19956;9;0;0
