Start Log - Format: duration;count;numberOfParticlesDOTS;numberOfParticlesStandard
0;50;0;0
0,1;210;0;0
0,2;204;0;0
0,3;200;0;0
0,4;225;0;0
0,5;284;0;0
0,6;301;0;0
0,7;301;0;0
0,8000001;290;0;0
0,9000001;295;0;0
1;309;0;0
1,1;294;0;0
1,2;280;0;0
1,3;251;0;0
1,4;257;0;0
1,5;265;0;0
1,6;302;0;0
1,7;298;0;0
1,8;252;0;0
1,9;285;0;0
2;289;0;0
2,1;269;0;0
2,2;302;0;0
2,3;240;0;0
2,4;310;0;0
2,5;235;0;0
2,6;244;0;0
2,7;302;0;0
2,799999;279;0;0
2,899999;285;0;0
2,999999;287;0;0
3,099999;173;0;0
3,199999;300;0;0
3,299999;304;0;0
3,399999;295;0;0
3,499999;202;0;0
3,599999;251;0;0
3,699999;307;0;0
3,799999;261;0;0
3,899998;286;0;0
3,999998;266;0;0
4,099998;286;0;0
4,199998;299;0;0
4,299998;302;0;0
4,399998;294;0;0
4,499998;280;0;0
4,599998;274;0;0
4,699998;279;0;0
4,799998;289;0;0
4,899998;1;0;3
4,999998;98;0;217
5,099998;81;0;268
5,199997;66;0;322
5,299997;120;0;378
5,399997;119;0;431
5,499997;103;0;483
5,599997;106;0;535
5,699997;83;0;588
5,799997;94;0;641
5,899997;82;0;694
5,999997;64;0;743
6,099997;73;0;797
6,199996;70;0;848
6,299996;68;0;899
6,399996;62;0;953
6,499996;59;0;1003
6,599996;55;0;1057
6,699996;51;0;1112
6,799996;49;0;1169
6,899996;49;0;1221
6,999996;48;0;1276
7,099996;44;0;1331
7,199996;34;0;1388
7,299995;41;0;1451
7,399995;37;0;1501
7,499995;39;0;1553
7,599995;30;0;1607
7,699995;32;0;1666
7,799995;32;0;1727
7,899995;33;0;1788
7,999995;33;0;1849
8,099995;27;0;1896
8,199995;31;0;1951
8,299995;29;0;2016
8,399996;29;0;2068
8,499996;25;0;2122
8,599997;27;0;2180
8,699997;26;0;2235
8,799997;24;0;2291
8,899998;26;0;2351
8,999998;25;0;2415
9,099998;24;0;2477
9,199999;23;0;2540
9,299999;23;0;2605
