Start Log - Format: duration;count;numberOfParticlesDOTS;numberOfParticlesStandard
27,00007;149;15253;0
27,10007;138;15310;0
27,20007;110;15366;0
27,30007;149;15424;0
27,40007;146;15480;0
27,50007;149;15537;0
27,60007;149;15594;0
27,70007;128;15651;0
27,80007;132;15711;0
27,90007;138;15767;0
28,00007;135;15825;0
28,10007;137;15882;0
28,20007;132;15939;0
28,30007;133;15995;0
28,40007;147;16051;0
28,50007;136;16107;0
28,60007;142;16165;0
28,70007;146;16224;0
28,80007;126;16281;0
28,90007;136;16338;0
29,00007;136;16396;0
29,10007;129;16452;0
29,20008;123;16511;0
29,30008;141;16568;0
29,40008;122;16625;0
29,50008;121;16685;0
29,60008;139;16743;0
29,70008;127;16801;0
29,80008;140;16858;0
29,90008;131;16916;0
30,00008;127;16975;0
30,10008;119;17031;0
30,20008;132;17087;0
30,30008;130;17143;0
30,40008;134;17198;0
30,50008;139;17257;0
30,60008;130;17312;0
30,70008;140;17368;0
30,80008;128;17423;0
30,90008;119;17480;0
31,00008;124;17536;0
31,10008;135;17594;0
31,20008;140;17652;0
31,30008;120;17711;0
31,40008;143;17769;0
31,50008;133;17825;0
31,60008;139;17884;0
31,70008;119;17942;0
31,80009;126;18000;0
31,90009;130;18056;0
32,00008;142;18113;0
32,10008;123;18166;0
32,20008;135;18224;0
32,30008;127;18282;0
32,40008;120;18338;0
32,50008;137;18398;0
32,60007;136;18455;0
32,70007;132;18514;0
32,80007;122;18571;0
32,90007;130;18630;0
33,00007;132;18687;0
33,10007;108;18745;0
33,20007;130;18805;0
33,30006;121;18862;0
33,40006;133;18921;0
33,50006;113;18980;0
33,60006;121;19037;0
33,70006;130;19095;0
33,80006;133;19154;0
33,90005;116;19213;0
34,00005;128;19271;0
34,10005;95;19327;0
34,20005;124;19389;0
34,30005;95;19448;0
34,40005;125;19506;0
34,50005;131;19563;0
34,60004;129;19621;0
34,70004;115;19682;0
34,80004;132;19740;0
34,90004;135;19800;0
35,00004;119;19859;0
35,10004;128;19917;0
35,20004;113;19978;0
35,30003;112;20035;0
35,40003;132;20094;0
35,50003;133;20154;0
35,60003;105;20214;0
35,70003;134;20271;0
35,80003;126;20325;0
35,90002;114;20385;0
36,00002;126;20441;0
36,10002;107;20494;0
36,20002;112;20551;0
36,30002;128;20610;0
36,40002;116;20668;0
36,50002;115;20724;0
36,60001;116;20783;0
36,70001;134;20840;0
36,80001;113;20900;0
36,90001;115;20958;0
37,00001;141;21016;0
37,10001;136;21072;0
37,2;107;21131;0
37,3;122;21186;0
37,4;106;21243;0
37,5;125;21301;0
37,6;134;21357;0
37,7;115;21418;0
37,8;142;21478;0
37,89999;128;21535;0
37,99999;130;21591;0
38,09999;111;21651;0
38,19999;137;21710;0
38,29999;130;21765;0
38,39999;137;21821;0
38,49998;108;21878;0
38,59998;109;21933;0
38,69998;135;21991;0
38,79998;143;22046;0
38,89998;139;22104;0
38,99998;142;22160;0
39,09998;135;22217;0
39,19997;106;22277;0
39,29997;122;22333;0
39,39997;140;22392;0
39,49997;134;22447;0
39,59997;121;22503;0
39,69997;107;22562;0
39,79996;82;22619;0
39,89996;93;22679;0
39,99996;109;22737;0
40,09996;126;22794;0
40,19996;139;22850;0
40,29996;107;22907;0
40,39996;116;22963;0
40,49995;136;23021;0
40,59995;134;23076;0
40,69995;107;23131;0
40,79995;117;23190;0
40,89995;75;23239;0
40,99995;121;23303;0
41,09995;93;23362;0
41,19994;111;23418;0
41,29994;123;23472;0
41,39994;119;23527;0
41,49994;139;23583;0
41,59994;101;23640;0
41,69994;104;23695;0
41,79993;109;23749;0
41,89993;134;23806;0
41,99993;92;23862;0
42,09993;131;23925;0
42,19993;134;23981;0
42,29993;103;24040;0
42,39993;107;24095;0
42,49992;131;24153;0
42,59992;105;24213;0
42,69992;124;24271;0
42,79992;116;24330;0
42,89992;105;24386;0
42,99992;139;24444;0
43,09991;137;24500;0
43,19991;105;24557;0
43,29991;103;24613;0
43,39991;129;24667;0
43,49991;141;24722;0
43,59991;131;24779;0
43,69991;107;24835;0
43,7999;98;24891;0
43,8999;104;24948;0
43,9999;131;25004;0
44,0999;130;25060;0
44,1999;104;25118;0
44,2999;103;25175;0
44,39989;133;25234;0
44,49989;109;25290;0
44,59989;103;25348;0
44,69989;122;25403;0
44,79989;136;25460;0
44,89989;95;25518;0
44,99989;111;25574;0
45,09988;102;25629;0
45,19988;137;25686;0
45,29988;109;25743;0
45,39988;103;25800;0
45,49988;138;25854;0
45,59988;138;25911;0
45,69987;133;25967;0
45,79987;102;26024;0
45,89987;103;26078;0
45,99987;142;26136;0
46,09987;141;26192;0
46,19987;110;26251;0
46,29987;103;26306;0
46,39986;99;26361;0
46,49986;138;26416;0
46,59986;148;26471;0
46,69986;108;26528;0
46,79986;103;26583;0
46,89986;83;26638;0
46,99986;133;26695;0
47,09985;140;26753;0
47,19985;101;26813;0
47,29985;128;26869;0
47,39985;106;26927;0
47,49985;102;26984;0
47,59985;101;27040;0
47,69984;140;27098;0
47,79984;108;27157;0
47,89984;89;27212;0
47,99984;95;27269;0
48,09984;135;27327;0
48,19984;104;27385;0
48,29984;107;27440;0
48,39983;132;27498;0
48,49983;108;27557;0
48,59983;103;27612;0
48,69983;132;27667;0
48,79983;124;27724;0
48,89983;128;27781;0
48,99982;96;27839;0
49,09982;96;27898;0
49,19982;141;27956;0
49,29982;105;28015;0
49,39982;97;28068;0
49,49982;97;28128;0
49,59982;99;28185;0
49,69981;145;28244;0
49,79981;97;28302;0
49,89981;137;28361;0
49,99981;134;28417;0
50,09981;137;28471;0
50,19981;92;28531;0
50,2998;100;28589;0
50,3998;141;28645;0
50,4998;100;28704;0
50,5998;139;28763;0
50,6998;98;28820;0
50,7998;96;28880;0
50,8998;134;28938;0
50,99979;97;28999;0
51,09979;86;29056;0
51,19979;133;29113;0
51,29979;87;29172;0
51,39979;137;29232;0
51,49979;138;29287;0
51,59978;139;29342;0
51,69978;98;29401;0
51,79978;75;29456;0
51,89978;144;29516;0
51,99978;128;29571;0
52,09978;88;29626;0
52,19978;75;29682;0
52,29977;97;29742;0
52,39977;104;29798;0
52,49977;126;29854;0
52,59977;59;29907;0
52,69977;126;29965;0
52,79977;72;30024;0
52,89977;132;30083;0
52,99976;145;30140;0
53,09976;142;30194;0
53,19976;95;30250;0
53,29976;94;30309;0
53,39976;101;30365;0
53,49976;132;30423;0
53,59975;90;30483;0
53,69975;132;30540;0
53,79975;127;30594;0
53,89975;94;30653;0
53,99975;95;30709;0
54,09975;131;30764;0
54,19975;139;30821;0
54,29974;94;30878;0
54,39974;93;30937;0
54,49974;128;30993;0
54,59974;130;31050;0
54,69974;94;31109;0
54,79974;88;31164;0
54,89973;127;31221;0
54,99973;73;31268;0
55,09973;75;31329;0
55,19973;71;31390;0
55,29973;72;31448;0
55,39973;74;31505;0
55,49973;96;31565;0
55,59972;72;31626;0
55,69972;69;31682;0
55,79972;70;31737;0
55,89972;76;31798;0
55,99972;72;31856;0
56,09972;65;31915;0
56,19971;88;31972;0
56,29971;132;32031;0
56,39971;137;32088;0
56,49971;88;32147;0
56,59971;135;32205;0
56,69971;80;32261;0
56,79971;130;32323;0
56,8997;93;32382;0
56,9997;134;32439;0
57,0997;88;32496;0
57,1997;91;32555;0
