Start Log - Format: duration;count;numberOfParticlesDOTS;numberOfParticlesStandard
116,2988;193;1208;0
116,3988;264;1149;0
116,4988;226;1098;0
116,5988;231;1045;0
116,6988;244;991;0
116,7988;273;931;0
116,8988;258;878;0
116,9988;273;824;0
117,0988;208;768;0
117,1988;169;719;0
117,2988;209;662;0
117,3988;227;609;0
117,4988;213;556;0
117,5988;208;501;0
117,6988;272;441;0
117,7988;249;389;0
117,8988;212;334;0
117,9988;244;281;0
118,0988;215;228;0
118,1988;194;175;0
118,2988;255;115;0
118,3988;191;62;0
118,4988;107;12;0
118,5988;216;7;0
118,6988;281;7;0
118,7988;255;7;0
118,8988;235;7;0
118,9988;244;7;0
119,0988;235;7;0
119,1988;238;7;0
119,2988;230;7;0
119,3988;292;7;0
119,4987;252;7;0
119,5987;251;7;0
119,6987;233;7;0
119,7987;247;7;0
119,8987;98;7;0
119,9987;122;7;0
120,0987;275;7;0
120,1987;285;7;0
120,2987;265;7;0
120,3987;275;7;0
120,4987;296;7;0
120,5987;242;7;0
120,6987;242;7;0
120,7987;295;7;0
120,8987;281;7;0
120,9987;288;7;0
121,0987;289;7;0
121,1987;289;7;0
121,2987;243;7;0
